rErrorMsg,rWouldTakeAgain,rClass,rTextBookUse,easyColor,teacherGrade,rEasy,rClarity,usefulGrouping,rInterest,sId,quality,id,rStatus,attendance,teacherRatingTags,rOverallString,rComments,rDate,TeacherID,takenForCredit,onlineClass,notHelpCount,rHelpful,teacher,helpColor,rEasyString,unUsefulGrouping,rOverall,helpCount,clarityColor
,N/A,CSE110,No,poor,A+,1,5,people,It's my life,45,awesome,25563473,1,Mandatory,"[u'BEWARE OF POP QUIZZES', u'Clear grading criteria', u'Gives good feedback']",5.0,"Navabi is GREAT! Her tests and assignments are extremely clear and very simple. If you put the time in to learn the basic subjects this class will be a breeze. She drops 1 homework, 1 quiz, 1 lab AND 1 test from your final grade (including the final). I dont know how you could not pass this class. ",12/06/2015,11705,Yes,,3,5,,good,1.0,people,5,0,good
,N/A,CSE110,Yes,average,A+,3,5,person,It's my life,45,awesome,25467885,1,Not Mandatory,"[u'Caring', u'Clear grading criteria']",5.0,"One of the best professor's I've had! She really wants you to be successful, unlike a lot of STEM intro classes meant to weed you out. I actually changed my major to computer science because of her class!",11/21/2015,11705,Yes,,3,5,,good,3.0,people,5,1,good
,Yes,CSE110,No,average,Not sure yet,2,5,person,It's my life,45,awesome,25463599,1,Not Mandatory,"[u'BEWARE OF POP QUIZZES', u'Clear grading criteria']",4.5,"She is a great professor! She really cares about her students and tries her best to make this 400 person lecture hall feel a bit more personal. The TA's are definitely helpful, and assignments can be fun sometimes. Take her! You'll learn a lot.",11/20/2015,11705,Yes,,3,4,,good,2.0,people,4.5,1,good
,N/A,CSE205,Yes,poor,N/A,1,5,person,Really into it,45,awesome,24751161,1,N/A,[],5.0,Great Professor!,05/06/2015,11705,Yes,,9,5,,good,1.0,people,5,1,good
,N/A,CSE110,No,average,N/A,2,4,person,Really into it,45,good,24413296,1,N/A,"[u'Clear grading criteria', u'LECTURE HEAVY']",4.0,"I had some background programming experience which made the class easier. For an intro to Java class, she made the concepts fairly easy.",02/25/2015,11705,Yes,,7,4,,good,2.0,people,4,1,good
,N/A,CSE110,Yes,poor,N/A,1,4,person,Really into it,45,good,24250436,1,N/A,"[u'Clear grading criteria', u'Respected', u'BEWARE OF POP QUIZZES']",4.0,"If you are struggling, go to her office hours. She is very helpful. Stay on top of the material. She allows a ""cheat sheet"" for the test.",01/07/2015,11705,Yes,,5,4,,good,1.0,people,4,1,good
,Yes,CSE110,Yes,good,A,4,5,person,Really into it,45,awesome,24071299,1,Mandatory,"[u'Clear grading criteria', u'Gives good feedback']",5.0,"Great teacher who cares about the students! If you put in the effort, you will learn a lot and be successful :D",12/14/2014,11705,Yes,,7,5,,good,4.0,people,5,1,good
,N/A,CSE205,No,average,A,2,5,people,Really into it,45,awesome,24071268,1,Mandatory,"[u'Amazing lectures', u'Participation matters']",5.0,"Professor Navabi is the best teacher I've had at ASU so far. Her lectures are great and she makes the material easy to understand. There are quizzes almost every week so showing up is important, but the tests were not extremely difficult and if you pay attention in class you should come out with a decent grade.",12/14/2014,11705,Yes,,5,5,,good,2.0,people,5,3,good
,Yes,CSE205,No,average,A,2,4,people,Really into it,45,good,23867299,1,Not Mandatory,[],4.0,"Attendance is taken as extra credit quizzes, You are allowed a notes sheet for exams, homeworks are pretty straight forward and I usually did them in one sitting. Longer or more difficult assignments usually get extended. All power points are uploaded as well as some code examples.  If you struggle with this class, consider changing majors.",11/20/2014,11705,Yes,,10,4,,good,2.0,people,4,2,good
,N/A,CSE205,Yes,good,A+,4,5,people,Really into it,45,awesome,23865688,1,Not Mandatory,"[u'BEWARE OF POP QUIZZES', u'Clear grading criteria', u'Caring']",5.0,"Navabi was a wonderful professor. She is so helpful. The class is tough, but she is very understanding. She postponed the deadline for some assignments which was a life saver for myself and many others.",11/20/2014,11705,Yes,,6,5,,good,4.0,people,5,2,good
,Yes,CSE205,No,average,A,2,5,people,N/A,45,awesome,26730828,1,N/A,"[u'LOTS OF HOMEWORK', u'Caring']",5.0,"I really enjoyed having Navabi for the 2 classes I took with her (110 and 205). She genuinely cares and wants you to do well, you just have to put in the effort. Yes, assignments can be very long and tedious, however certain parts of the exams often mirrored the assignments. She is very kind and I genuinely enjoyed the class.",06/16/2016,11705,Yes,,0,5,,good,2.0,people,5,0,good
,N/A,CSE110,Yes,average,B,3,3,people,N/A,45,good,26599695,1,Mandatory,"[u'Tough Grader', u'BEWARE OF POP QUIZZES', u'LOTS OF HOMEWORK']",3.5,"She drops your lowest quiz, exam, and lab assignment. Her lectures are really dry, reads straight from powerpoints. Expect A LOT of pop quizzes. Studying the terminology of the class helps a lot with exams. DO NOT leave your coding assignment for the  last minute, the tutoring center is your best friend when it comes to this. Do research on methods",05/17/2016,11705,Yes,,1,4,,average,3.0,person,3.5,0,average
,N/A,CSE110,Yes,average,A,2,4,person,N/A,45,good,26521973,1,N/A,"[u'Gives good feedback', u'LOTS OF HOMEWORK', u'BEWARE OF POP QUIZZES']",4.0,"Great teacher, but I did notice allot of other people struggling in this class. I have an interest in programming, so this class came rather easy to me. I learned most of the material off of ""thenewboston"" on my own time, and actually enjoyed it. The tests are very straight forward, and she drops lowest one including the final. Gives pop quizes.",05/10/2016,11705,Yes,,2,4,,good,2.0,people,4,1,good
,N/A,CSE205,No,average,B,3,5,person,N/A,45,awesome,26519734,1,Mandatory,"[u""Skip class? You won't pass."", u'BEWARE OF POP QUIZZES', u'LOTS OF HOMEWORK']",4.5,"great professor, helpful, lets you use a sheet of notes on exams. exams are somewhat hard. expect pop quizzes. definitely would take her again. start on assignments early. study ahead and start ahead on assignments.",05/09/2016,11705,Yes,,1,4,,good,3.0,person,4.5,1,good
,N/A,CSE110,Yes,poor,A,1,5,person,N/A,45,awesome,26507664,1,Mandatory,[],4.5,"There's a weekly programming assignment along with a weekly assignment due during lab time. There's a couple of tests that aren't too difficult, and she drops your lowest test grade. Make sure you go to class because you never know when there's going to be a quiz. I definitely recommend taking CSE110 with Navabi.",05/08/2016,11705,Yes,,1,4,,good,1.0,person,4.5,1,good
,N/A,CSE205,No,average,A+,2,4,person,N/A,45,good,26496664,1,Not Mandatory,"[u'LOTS OF HOMEWORK', u'EXTRA CREDIT']",4.0,"Navabi is a great professor! Her grading system is made so that you can get over 100%. Go to class because the quizzes are super easy and are basically easy points and be sure to use them as a guide on the exams. If you did the quizzes and assignments, exams are no big deal. There are 4 exams, but the lowest is dropped. Take her!!!",05/07/2016,11705,Yes,,1,4,,good,2.0,person,4,1,good
,Yes,CSE205,No,poor,A+,1,3,person,N/A,45,good,26469638,1,Not Mandatory,"[u'LOTS OF HOMEWORK', u'Clear grading criteria']",3.5,"Super easy professor. All ""pop"" quizzes were open-note and you could work with your neighbors. Exams were exactly like the review, and lots of things get dropped from the final grade. Assignments were easy (half the code was written for you) and actually helped with understanding. I really learned a lot in this class.",05/04/2016,11705,Yes,,1,4,,average,1.0,person,3.5,1,average
,N/A,CSE100,Yes,average,Not sure yet,3,2,person,Sorta interested,45,average,26144322,1,Not Mandatory,"[u'Get ready to read', u'Tough Grader', u'LOTS OF HOMEWORK']",3.0,"If you have no previous coding experience before this class I do not recommend taking it. She goes really fast and covers topics very briefly so you'll have so teach yourself most of it. If you have had some previous experience go for it because its not that hard, but if you really want to understand the material, take another teacher.",03/15/2016,11705,Yes,,1,4,,average,3.0,person,3,1,average
,N/A,CSE110,No,average,A,3,2,person,It's my life,45,average,25690065,1,Not Mandatory,"[u'LOTS OF HOMEWORK', u'Gives good feedback', u'Tough Grader']",3.0,I had previous experience with what was being taught and still was confused by what was being said in the lectures. Stopped going to lecture and self studied the professor was not helpful in learning the information. But the self studying paid off. ,12/14/2015,11705,Yes,,1,4,,average,3.0,person,3,1,average
,N/A,CSE110,Yes,poor,A,1,5,person,Really into it,45,awesome,25649585,1,Not Mandatory,"[u'Respected', u'Clear grading criteria', u'BEWARE OF POP QUIZZES']",4.5,"Navabi was really helpful and seemed excited to teach. Java was pretty easy for me, so I usually ditched class and just read the textbook. She gives out random pop quizzes to encourage attendance, but they're really predictable and and she drops the lowest. Her assignments and tests were a reasonable length and fairly easy. Would take again",12/11/2015,11705,Yes,,3,4,,good,1.0,people,4.5,1,good
,N/A,CSE110,No,poor,A+,1,5,people,It's my life,45,awesome,25563473,1,Mandatory,"[u'Clear grading criteria', u'BEWARE OF POP QUIZZES', u'Gives good feedback']",5.0,"Navabi is GREAT! Her tests and assignments are extremely clear and very simple. If you put the time in to learn the basic subjects this class will be a breeze. She drops 1 homework, 1 quiz, 1 lab AND 1 test from your final grade (including the final). I dont know how you could not pass this class. ",12/06/2015,11705,Yes,,3,5,,good,1.0,people,5,0,good
,N/A,CSE110,Yes,average,A+,3,5,person,It's my life,45,awesome,25467885,1,Not Mandatory,"[u'Clear grading criteria', u'Caring']",5.0,"One of the best professor's I've had! She really wants you to be successful, unlike a lot of STEM intro classes meant to weed you out. I actually changed my major to computer science because of her class!",11/21/2015,11705,Yes,,3,5,,good,3.0,people,5,1,good
,Yes,CSE110,No,average,Not sure yet,2,5,person,It's my life,45,awesome,25463599,1,Not Mandatory,"[u'BEWARE OF POP QUIZZES', u'Clear grading criteria']",4.5,"She is a great professor! She really cares about her students and tries her best to make this 400 person lecture hall feel a bit more personal. The TA's are definitely helpful, and assignments can be fun sometimes. Take her! You'll learn a lot.",11/20/2015,11705,Yes,,3,4,,good,2.0,people,4.5,1,good
,N/A,CSE205,Yes,poor,N/A,1,5,person,Really into it,45,awesome,24751161,1,N/A,[],5.0,Great Professor!,05/06/2015,11705,Yes,,9,5,,good,1.0,people,5,1,good
,N/A,CSE110,No,average,N/A,2,4,person,Really into it,45,good,24413296,1,N/A,"[u'LECTURE HEAVY', u'Clear grading criteria']",4.0,"I had some background programming experience which made the class easier. For an intro to Java class, she made the concepts fairly easy.",02/25/2015,11705,Yes,,7,4,,good,2.0,people,4,1,good
,N/A,CSE110,Yes,poor,N/A,1,4,person,Really into it,45,good,24250436,1,N/A,"[u'BEWARE OF POP QUIZZES', u'Clear grading criteria', u'Respected']",4.0,"If you are struggling, go to her office hours. She is very helpful. Stay on top of the material. She allows a ""cheat sheet"" for the test.",01/07/2015,11705,Yes,,5,4,,good,1.0,people,4,1,good
,Yes,CSE110,Yes,good,A,4,5,person,Really into it,45,awesome,24071299,1,Mandatory,"[u'Gives good feedback', u'Clear grading criteria']",5.0,"Great teacher who cares about the students! If you put in the effort, you will learn a lot and be successful :D",12/14/2014,11705,Yes,,7,5,,good,4.0,people,5,1,good
,N/A,CSE205,No,average,A,2,5,people,Really into it,45,awesome,24071268,1,Mandatory,"[u'Amazing lectures', u'Participation matters']",5.0,"Professor Navabi is the best teacher I've had at ASU so far. Her lectures are great and she makes the material easy to understand. There are quizzes almost every week so showing up is important, but the tests were not extremely difficult and if you pay attention in class you should come out with a decent grade.",12/14/2014,11705,Yes,,5,5,,good,2.0,people,5,3,good
,Yes,CSE205,No,average,A,2,4,people,Really into it,45,good,23867299,1,Not Mandatory,[],4.0,"Attendance is taken as extra credit quizzes, You are allowed a notes sheet for exams, homeworks are pretty straight forward and I usually did them in one sitting. Longer or more difficult assignments usually get extended. All power points are uploaded as well as some code examples.  If you struggle with this class, consider changing majors.",11/20/2014,11705,Yes,,10,4,,good,2.0,people,4,2,good
,N/A,CSE205,Yes,good,A+,4,5,people,Really into it,45,awesome,23865688,1,Not Mandatory,"[u'BEWARE OF POP QUIZZES', u'Clear grading criteria', u'Caring']",5.0,"Navabi was a wonderful professor. She is so helpful. The class is tough, but she is very understanding. She postponed the deadline for some assignments which was a life saver for myself and many others.",11/20/2014,11705,Yes,,6,5,,good,4.0,people,5,2,good
,N/A,CSE110,No,good,N/A,4,2,person,Meh,45,average,23700760,1,N/A,[],2.5,"This teacher is really nice, but if you are new to programming look elsewhere. She is very unorganized and gets code examples wrong. If you have previous coding experience, easy A.",10/27/2014,11705,Yes,,5,3,,average,4.0,people,2.5,1,average
,Yes,CSE110,No,average,Not sure yet,3,4,person,It's my life,45,good,23687263,1,Not Mandatory,[u'Clear grading criteria'],4.0,"Great teacher! Gives clear explanations on the assignments and even helps with the homework assignments in class. I would definitely recommend this professor to anyone taking CSE 110. There are not many exams either. You get a free online version of the book, so there is no need to buy the book unless you like having the physical book.",10/23/2014,11705,Yes,,5,4,,good,3.0,people,4,1,good
,N/A,CSE110,Yes,average,N/A,3,2,people,Sorta interested,45,poor,23628427,1,N/A,[],2.0,Most frustrating class.  Emails don't get answered or are answered with a non-answer.  Assignment due dates keep changing - as late as 9pm on the day they are due.  Due dates on the weekly units are incorrect.  Can't view results of exams so you don't know what you missed in order to prepare for the final. ,10/03/2014,11705,Yes,online,3,2,,average,3.0,people,2,4,average
,N/A,CSE205,Yes,poor,N/A,1,5,people,Really into it,45,awesome,23580070,1,N/A,[],4.5,Great teacher. Very clear and helpful. Assignments are reasonable and theres plenty of resources she lists as well as TAs available to help with the assignment.,09/06/2014,11705,N/A,,4,4,,good,1.0,people,4.5,2,good
,N/A,CSE205,No,average,C,3,2,people,Low,45,poor,23223355,1,Mandatory,[],2.0,This class is hard!! If you have never done programming before you need to stay in tutoring all of the time!!! She can't use eclipse so if you have a mac computer make sure to find a tutor that can help you!!! If you are good at programming this class will probably be easy for you she gives you a cheat sheet though. CSE 105 was way easier.,05/12/2014,11705,N/A,,5,2,,average,3.0,people,2,6,average
,N/A,CSE205,No,poor,N/A,1,4,people,Really into it,45,awesome,23096839,1,N/A,[],4.5,"Teaches so effectively, you'll learn without feeling like you're trying. She posts code examples of EVERYTHING online to help you. Takes attendance in the form of extra credit quizzes.",04/24/2014,11705,N/A,,6,5,,good,1.0,people,4.5,0,good
,N/A,CSE205,Yes,poor,N/A,1,5,person,It's my life,45,awesome,23082709,1,N/A,[],5.0,"Best Teacher ever. She always makes jokes to help us understand the concept. The textbook is online, so you don't have to buy the paperback version if you don't want to. Take her, no questions.",04/23/2014,11705,N/A,,4,5,,good,1.0,people,5,1,good
,N/A,CSE110,Yes,poor,N/A,1,5,person,It's my life,45,awesome,22897180,1,N/A,[],5.0,This is not a very difficult course. Mrs. Navabi is very straight forward with her assignments and tests. She gives pop quizzes through out the semester. If you keep up with your assignments you should do fine on the quizzes. Test questions are sometimes pulled from the quizzes. She is very clear and helpful in class if you ask questions.,03/09/2014,11705,N/A,,3,5,,good,1.0,people,5,1,good
,N/A,CSE110,Yes,average,A,2,5,person,Really into it,45,awesome,22863182,1,Mandatory,[],5.0,"Her class is fantastic for programming greenhorns. Always nice, optimistic, and enthusiastic about her job. Go to TA office hours for help on assignments. Overall, wonderful class.",02/24/2014,11705,N/A,,4,5,,good,2.0,people,5,1,good
,N/A,CSE205,Yes,average,N/A,3,5,person,Low,45,awesome,22856835,1,N/A,[],5.0,"Navabi makes a hard class easier by being a teacher who focuses on experience with programming first before pure memorization of syntax. Her 16 years of teaching at ASU makes her an elite computer science teacher who can turn a disciplined, but struggling student into a pro because of her enthusiasm and support.",02/21/2014,11705,N/A,,3,5,,good,3.0,people,5,1,good
,N/A,CSE205,Yes,average,N/A,3,4,people,It's my life,45,awesome,22775975,1,N/A,[],4.5,"Great class. Navabi was a fun, caring, good teacher. Only thing I didn't like is that some of the assignment descriptions were hard to follow.",01/21/2014,11705,N/A,,3,5,,good,3.0,people,4.5,2,good
,N/A,CSE205,No,poor,N/A,1,4,people,Really into it,45,good,22750323,1,N/A,[],4.0,Really easy class if you go to the lectures.,01/14/2014,11705,N/A,,2,4,,good,1.0,people,4,0,good
,N/A,COS126,Yes,poor,N/A,1,5,people,It's my life,45,awesome,22707440,1,N/A,[],5.0,She is the sweetest kindest lady. Plus it does not hurt that she is a Red HOT pepper for sure!,01/06/2014,11705,N/A,,2,5,,good,1.0,people,5,0,good
,N/A,CSE110,Yes,poor,N/A,1,4,people,Sorta interested,45,awesome,22445650,1,N/A,[],4.5,"Professor Navabi is an excellent professor. Each day, rain or shine, she is always very enthusiastic and optimistic when it comes to the class topics. She is a great professor and answers any and all questions that come up in class. She goes over every assignment, worksheet, quiz, and exam to make sure everyone understands the topics.",12/05/2013,11705,N/A,,0,5,,good,1.0,people,4.5,0,good
,N/A,CSE110,Yes,good,N/A,4,5,people,Really into it,45,awesome,21456244,1,N/A,[],5.0,"The BEST teacher at ASU! I took both of her classes. She loves what she teaches, and wants you to love it too. She will always stay after class to help you, and her team of TA's are incredibly well trained. She gives regular quizzes, so that is your attendance. TAKE HER CLASS, do everything she says, and you will learn and love the subject!",03/27/2013,11705,N/A,,0,5,,good,4.0,people,5,0,good
,N/A,CSE110,Yes,poor,N/A,1,4,people,It's my life,45,awesome,21125873,1,N/A,[],4.5,Great teacher to have if this is your first exposure to computer programming.,12/19/2012,11705,N/A,,0,5,,good,1.0,people,4.5,0,good
,N/A,CSE110,Yes,poor,N/A,1,2,people,Sorta interested,45,poor,21070814,1,N/A,[],1.5,"She is not very helpful when it comes to grading. If you get something right and it gets marked wrong, she will admit that you got it right without changing the grade for it. Very Disappointing.",12/14/2012,11705,N/A,,0,1,,poor,1.0,people,1.5,0,average
,N/A,CSE110,Yes,poor,N/A,1,4,people,Really into it,45,good,20961747,1,N/A,[],3.5,"Nice lady. Quizzes and tests are easy, but she doesn't really prepare you for the assignments that much. Much more difficult than the rest of the class. She knows what she is talking about but makes plenty of mistakes. If you have no prior programming experience, it won't be your funnest class.",12/05/2012,11705,N/A,,0,3,,average,1.0,people,3.5,0,good
,N/A,CSE110,Yes,average,N/A,2,4,people,It's my life,45,good,20929474,1,N/A,[],4.0,"Very nice teacher. Likes to joke around. Has an accent but it is easy to get used to. Has a quiz every week but if you go to class you'll do great. Does not take attendance, but you want to go in case she gives a pop quiz. Tests are straight forwards and very do-able.",12/02/2012,11705,N/A,,0,4,,good,2.0,people,4,0,good
,N/A,CSE110,No,average,N/A,3,5,people,Low,45,awesome,20898081,1,N/A,[],5.0,"Dr. Navabi knows what she's talking about, genuinely wants to help her students and cares about them. She makes java programming, something that could be potentially very tedious and mundane, fun and exciting. Signed up again next semester!!",11/27/2012,11705,N/A,,0,5,,good,3.0,people,5,0,good
,N/A,CSE110,Yes,poor,N/A,1,5,people,It's my life,45,awesome,20805084,1,N/A,[],5.0,"Best professor ever period, plus extra credit available so you can always go over 100%",11/09/2012,11705,N/A,,0,5,,good,1.0,people,5,0,good
,N/A,CSE205,Yes,poor,N/A,1,5,people,It's my life,45,awesome,20747246,1,N/A,[],5.0,Expect to work a lot outside the class on assignments. The tests are easy if you attend class and  you get to drop your lowest score. She has a bit of an accent but is still understandable and helpful,10/28/2012,11705,N/A,,0,5,,good,1.0,people,5,0,good
,N/A,CSE205,Yes,average,N/A,2,5,people,Really into it,45,awesome,20714458,1,N/A,[],5.0,"Absolutely love her! I have taken her for CSE 205, 100 and 110. She is great at preparing you for exams, which are always fair. She allows a sheet of notes on exams too! Very understanding with program due dates and would push them back if e class was having a hard time. She actually cares about the class average and you can tell. Would recommend!",10/18/2012,11705,N/A,,0,5,,good,2.0,people,5,0,good
,N/A,CSE205,Yes,good,N/A,4,4,people,Really into it,45,good,20645907,1,N/A,[],4.0,"She is good teacher.Let's you use notes on test.Read textbook and practice, and should be good.She not too big on attendance, but will hold it against you if you are not doing well.If your doing okay in the class and atten lecture she is willing to help.Overall good instructor.",09/16/2012,11705,N/A,,0,4,,good,4.0,people,4,0,good
,N/A,CSE205,Yes,poor,N/A,1,4,people,It's my life,45,good,20532940,1,N/A,[],4.0,"Friendly, answers questions well but sometimes misunderstands--but then the TA answers, so it all works out. Goes over some material far too slowly and other far too quickly, but everything is available online to go over at your leisure. Stresses what's important on the job & in later classes. Easy points on in-class quizzes, so don't skip!",07/31/2012,11705,N/A,,0,4,,good,1.0,people,4,0,good
,N/A,CSE110,Yes,poor,N/A,1,4,people,It's my life,45,good,20529280,1,N/A,[],3.5,"Lectures pretty much come from the book--I turned to whatever page she was covering (skips around a lot) & followed easily. Allows notes for exams, DEFINITELY take advantage of this! Gives in-class quizzes instead of taking attendance, so best to come. Lots of hand-outs & links for extra help.",07/30/2012,11705,N/A,,0,3,,average,1.0,people,3.5,0,good
,N/A,CSE205,No,average,N/A,2,4,people,It's my life,45,good,20362233,1,N/A,[],4.0,"Easy, but a lot of material.",05/30/2012,11705,N/A,,0,4,,good,2.0,people,4,0,good
,N/A,CSE205,No,poor,N/A,1,4,people,It's my life,45,awesome,20269275,1,N/A,[],4.5,"Very clear, very easy grader. She keeps presentations lively. Exams are sometimes worded poorly, but very forgiving. Her TAs are extremely helpful as well. I completed an honors project through her - the work was fun, and it helped my understanding of the course. Highly recommend for anyone.",05/13/2012,11705,N/A,,0,5,,good,1.0,people,4.5,0,good
,N/A,CSE205,Yes,average,N/A,3,5,people,Really into it,45,awesome,20166312,1,N/A,[],5.0,Excellent teacher. You should attend classes to get a good grade. She is very helpful and funny. You will learn a lot in this course. I really enjoyed it.,05/01/2012,11705,N/A,,0,5,,good,3.0,people,5,0,good
,N/A,CSE205,No,average,N/A,2,4,people,Really into it,45,awesome,20154654,1,N/A,[],4.5,Navabi is very helpful to her students and at times can be goofy. There were many resources available for this class. The tests are easy if you study.,04/30/2012,11705,N/A,,1,5,,good,2.0,person,4.5,0,good
,N/A,CSE100,Yes,poor,N/A,1,5,people,Really into it,45,awesome,19974899,1,N/A,[],4.5,"As with most I came into this class with no prior programming experience, but am leaving it with an amazing knowledge of basic C++ and my major switched to CE. The labs always come prior to assignments and prepare you for them, and the assignments themselves (There are only 8 total) can be hard, but you feel rewarded when you finish.",03/30/2012,11705,N/A,,0,4,,good,1.0,people,4.5,0,good
,N/A,CSE110,Yes,average,N/A,3,4,people,Low,45,good,19826202,1,N/A,[],4.0,Navabi is a good teacher.  She'll answer any questions & encourages you to seek extra help from tutors/office hours.  She gives quizzes randomly.  Go to BY210 for extra help if you need it & you will be good.  We got quite a bit of extra credit which gave me an A.  I am in Nakamura's 205 class & I think Nakamura is better.  Both are good though!,02/14/2012,11705,N/A,,0,4,,good,3.0,people,4,0,good
,N/A,CSE110,Yes,average,N/A,2,3,people,Low,45,average,19676754,1,N/A,[],3.0,"I had little to no experience in programming prior to this course. If you are in my situation then I would attend the early lectures with the later ones not being entirely necessary. She does give unannounced quizes, but you can usually guess when those are going to be given. Read the book and google for help and you should be fine. Decent prof.",01/05/2012,11705,N/A,,0,3,,average,2.0,people,3,0,average
,N/A,CSE100,Yes,average,N/A,2,5,people,Really into it,45,awesome,19616984,1,N/A,[],5.0,Enjoyed this class. Prof. Navabi makes programming easy and I highly recommend her. Everything you learn in class can be applied to the labs and assignments which makes studying for the tests easy.,12/24/2011,11705,N/A,,0,5,,good,2.0,people,5,0,good
,N/A,CSE100,No,poor,N/A,1,5,people,Really into it,45,awesome,19560937,1,N/A,[],5.0,"I did not read the textbook at all for this class, nor did I have any prior programming experience, but I still got an A+. If you go to all the lectures and finish the homework on time, you're set. The labs are extremely helpful, and the TA was super nice.",12/18/2011,11705,N/A,,0,5,,good,1.0,people,5,0,good
